,id,year,prod,agreementindex,bias,correlationcoefficient,covariance,decomposed_mse,kge,log_p,mae,mse,nashsutcliffe,pbias,rmse,rrmse,rsquared,rsr,volume_error,lid,USGS_id,USGS_name,Area,Slope,t_trav,lat,lon,ifis_id,num_up_gag,nRMSE,nMAE,timing,norm_bias,ppd,peak_qsim,qsim_vol,qobs_vol,pt_change_vol
43,394,2015,Q_assim,0.7409,-2.1792,0.5875,103.1733,155.9916,0.5198,-28.4238,8.2882,155.9916,-0.0738,12.9409,12.4897,0.7417,0.3451,1.0362,0.1294,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0053,0.0035,5.0000,0.1808,1.2694,203.7100,377167074.0000,333510003.4752,13.0902
44,395,2016,Q_assim,0.8479,19.7074,0.8659,3804.5645,2791.8168,0.4706,-35.7329,23.9379,2791.8168,0.6230,-31.1228,52.8376,0.8344,0.7498,0.6140,-0.3112,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0224,0.0101,2.0000,-0.2290,-0.3525,476.6767,863197314.0000,1267959697.2230,-31.9223
45,396,2017,Q_assim,0.7287,-6.2850,0.5805,610.1534,923.2236,0.5489,-30.8435,18.1087,923.2236,0.0832,16.0023,30.3846,0.7736,0.3370,0.9575,0.1600,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0129,0.0077,7.0000,0.1981,-0.4482,154.3633,902362290.0000,779076550.4832,15.8246
46,397,2018,Q_assim,0.8884,13.7979,0.8170,3141.8778,1611.6544,0.7246,-17.4606,26.0050,1611.6544,0.6049,-19.7688,40.1454,0.5752,0.6674,0.6286,-0.1977,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0170,0.0110,4.0000,-0.2160,-0.0622,366.4533,1119467934.0000,1394124038.6342,-19.7010
47,2772,2010,Q_ol,0.8803,-6.4206,0.8673,327.9025,183.4998,0.6150,-12.2642,11.3264,183.4998,0.6516,22.5776,13.5462,0.4763,0.7523,0.5902,0.2258,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0057,0.0048,0.0000,0.2798,-0.2811,139.0303,734840372.9925,599439534.1690,22.5879
48,2773,2011,Q_ol,0.7383,-0.9504,0.7156,127.2310,186.1527,0.4308,-23.2542,9.9469,186.1527,0.4669,4.6554,13.6438,0.6684,0.5121,0.7302,0.0466,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0058,0.0042,14.0000,0.0509,-0.4743,63.1188,450272496.2085,430087471.2778,4.6932
49,2774,2012,Q_ol,0.8291,3.5958,0.8720,87.1364,72.1833,0.4446,-29.4098,5.0169,72.1833,0.5926,-31.9480,8.4961,0.7549,0.7604,0.6383,-0.3195,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0036,0.0021,12.0000,-0.2702,-0.5970,30.0131,161031975.3780,235935295.2815,-31.7474
50,2775,2013,Q_ol,0.7940,21.4672,0.7451,1014.4638,1202.7493,0.5194,-18.7913,24.6946,1202.7493,0.2671,-37.0079,34.6807,0.5979,0.5551,0.8561,-0.3701,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0147,0.0105,12.0000,-0.5299,-0.2558,250.7640,548998352.1459,824463408.4531,-33.4114
51,2776,2014,Q_ol,0.8972,13.6542,0.8984,1621.3982,772.1316,0.5177,-29.1784,16.6240,772.1316,0.6975,-36.9418,27.7873,0.7518,0.8072,0.5500,-0.3694,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0118,0.0070,6.0000,-0.2703,-0.1342,424.1327,478750973.5017,753458703.9782,-36.4596
52,2777,2015,Q_ol,0.8472,6.4832,0.7746,270.6799,205.7034,0.5850,-26.8664,8.2998,205.7034,0.4842,-32.5635,14.3424,0.7204,0.6000,0.7182,-0.3256,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0061,0.0035,6.0000,-0.3246,-0.2121,167.1104,318094089.5702,472233412.0224,-32.6405
